Course Code,Course Title,Credits,Prerequisites,Co-requisites,Description,Learning Outcomes
CH 407,Synthetic Organic Chemistry,3,CH 306.,,"A mechanistic approach to organic chemistry, synthetic organic chemistry is an advanced level organic chemistry course for students majoring in chemistry. Different multi-step synthetic methods pertaining to natural products, drugs, pharmaceuticals, dyes and fine chemicals, organic polymers, food and beverage flavoring will be taught in this course. Pertinent mechanisms involved in esterification, electrophilic aromatic substitutions in polycyclic aromatic hydrocarbons etc., will be discussed during the course. A special project will be assigned in which students are required to plan a multi-step synthesis of a pharmaceutical preparation and conduct literature survey on the compound. The students will design a multi -step synthetic route for the compound and execute the process in the laboratory. Thr ee lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Synthetic Organic Chemistry; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 407L,Synthetic Organic Chemistry Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Synthetic Organic Chemistry Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 408,Biochemistry II w/Lab,3,,,●,Demonstrate understanding of key concepts in Biochemistry II w/Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 408L,Biochemistry II Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Biochemistry II Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 420,Synthetic Organic Chemistry w/Lab,3,,,●,Demonstrate understanding of key concepts in Synthetic Organic Chemistry w/Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 449,Senior Seminar,2,Senior Standing. Total Hours: 14 Spring Semester,,"This course is required of all Chemistry majors in the senior year. It acquaints students with contemporary research, presentations and aids students in preparing for their senior comprehensive examinations.",Demonstrate understanding of key concepts in Senior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
CH 450,Research I,3,Permission of instructor required.,,"This course involves reading and laboratory work on special topics in chemistry or related fields, under faculty supervision.",Demonstrate understanding of key concepts in Research I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 451,Research II,3,Permission of instructor required. COMPUTER AND INFORMATION SCIENCES,,,Demonstrate understanding of key concepts in Research II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 460,Special Topics,3,,,●,Demonstrate understanding of key concepts in Special Topics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CIS 110,Computer Literacy,3,None.,,"This is a general studies course which emphasizes the influences of the computer in the daily lives of every citizen. Students are introduced to word processing, spreadsheet, database, presentation graphics, and personal information management software.",Demonstrate understanding of key concepts in Computer Literacy; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CIS 120,Fundamentals of Microcomputer Applications,3,CIS 110.,,"Students are provided an intermediate- level treatment of microcomputer software applications. Hands- on experience using word processing, spreadsheet, database, presentation graphics, and personal information management software is gained by applying critical thinking skills to projects simulating life experiences.",Demonstrate understanding of key concepts in Fundamentals of Microcomputer Applications; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CIS 207,APPLE Intro to Application with Swift: Explorations,3,,,"This course is designed to equip the student to build Apps using the Swift Programming language. The course helps equip learners with the fundamental knowledge and skills about Apple Swift Language and Xcode, used for building Apps, running of iOS devices. This course also allows students to understand ""Everyone can code"" by using innovative ways to build Apps. This course also will use practical, step -by-step approach to learning iOS development and basic programming concepts using Swift as the language.",Demonstrate understanding of key concepts in APPLE Intro to Application with Swift: Explorations; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
